room_number,north,south,east,west,creature,items
36,33,0,0,0,,"W"
1,0,6,2,0,,
2,0,7,3,1,S,"F"
3,0,8,4,2,,
4,0,9,0,3,,
5,0,10,0,0,N,
6,1,11,0,0,,
7,2,0,8,1,H,
8,3,13,9,0,,
9,4,14,10,0,,"B"
10,5,15,0,9,H,
11,6,0,12,0,,"L"
12,0,17,0,0,,
13,8,0,0,12,,
14,9,19,0,0,,
15,10,20,0,14,,
16,0,21,17,0,,
17,12,22,18,16,G,
18,0,23,0,17,,
19,14,24,0,0,G,
20,15,0,0,0,,
21,16,0,22,0,,
22,17,27,0,21,,"X"
23,18,0,24,0,,
24,19,29,0,23,,
25,0,30,0,0,,"W"
26,0,31,27,0,,
27,0,32,0,26,S,
28,23,33,29,0,,
29,0,34,0,28,,
30,25,35,0,0,S,
31,26,0,32,0,,
32,27,0,33,31,,
33,28,0,34,32,,
34,29,0,35,33,,
35,30,0,0,34,,
